Medication Name,Strength,Form,Quantity on Hand,Unit of Measure,Expiry Date,Cost per Unit,Selling Price per Unit,Unit for Pricing,Batch Number
Amoxiclav,625mg,Tablet,4,PACKS,2026-12-01,2450,3500,,
Ciprofloxacin,500mg,Tablet,26,PACKS,2028-05-01,1330,1900,,
Ofloxacin,400mg,Tablet,1,PACKS,2027-06-01,1260,1800,,
Ofloxacin,200mg,Tablet,7,PACKS,2027-11-01,840,1200,,
Ketoconazole,200mg,Tablet,25,TABS,2030-07-01,2100,3000,,
Fluconazole,50mg,Tablet,2,PACKS,2027-12-01,2450,3500,,
Fluconazole,100mg,Capsule,2,PACKS,2029-09-01,2100,3000,,
Fluconazole,150mg,Tablet,2,PACKS,2026-08-01,1260,1800,,
Fluconazole,200mg,Tablet,5,PACKS,2026-06-01,1400,2000,,
Ketoconazole,200mg,Tablet,12,PACKS,2027-03-01,630,900,,
Salbutamol,,Nebule,3,PACKS,2027-05-01,350,500,,
Salbutamol,4mg,Tablet,1,PACKS,2026-05-01,7,10,,
Vitamin C,,Syrup,2,BOTTLES,2026-06-01,315,450,,
Multivitamin,,Syrup,3,BOTTLES,2026-06-01,315,450,,
Deep Heat Spray,,Tablet,1,BOTTLES,2029-03-01,3150,4500,,
Buscopan,10mg,Tablet,3,PACKS,2028-04-01,140,200,CARD
Loperamide,,Tablet,3,PACKS,2027-03-01,140,200,CARD
Stugeron,25mg,Tablet,3,PACKS,2027-09-01,1050,1500,,
Promethazine,25mg,Tablet,3,PACKS,2027-08-01,14,20,CARD
Dexamethasone,0.5mg,Tablet,5,PACKS,2026-07-01,140,200,CARD
Ondansetron,4mg,Tablet,4,PACKS,2027-03-01,280,400,,
Prednisolone,5mg,Tablet,4,PACKS,2026-03-01,140,200,CARD
Fexofenadine,180mg,Tablet,6,PACKS,2027-08-01,2940,4200,,
Fexofenadine,120mg,Tablet,2,PACKS,2026-09-01,2450,3500,,
Mixagrip,,Tablet,5,PACKS,2026-04-01,350,500,,
Chlorphenamine,4mg,Tablet,5,PACKS,2027-03-01,140,200,CARD
Levocetirizine,5mg,Tablet,5,PACKS,2026-05-01,350,500,CARD
Loratadine,10mg,Tablet,2,PACKS,2026-04-01,280,400,CARD
Metoclopramide,10mg,Tablet,7,PACKS,2026-09-01,350,500,CARD
Ivermectin,6mg,Tablet,1,PACKS,2027-03-01,7,10,TAB
Ibucap,,Tablet,38,PACKS,2027-09-01,350,500,,
Flu-J,,Tablet,13,PACKS,2028-05-01,350,500,,
Melatonin,50mg,Tablet,11,PACKS,2028-01-01,525,750,,
Fluoride,,Gel,10,PACKS,2031-01-01,840,1200,,
Glycopyrrolate,2mg,Tablet,1,PACKS,2026-04-01,210,300,CARD
Paracetamol,,Syrup,6,BOTTLES,2027-10-01,385,550,,
Flotac,75mg,Tablet,2,PACKS,2026-08-01,840,1200,PACK
Diclofenac,100mg,Tablet,8,PACKS,2027-06-01,210,300,CARD
Paracetamol,1000mg,Tablet,,PCS,2027-07-01,140,200,CARD
Tramadol HCl,50mg,Capsule,36,CARDS,2031-10-01,420,600,CARD
Acyclovir,100mg,Tablet,10,PACKS,2028-05-01,840,1200,PACK
Aceclofenac,100mg,Tablet,10,PACKS,2027-10-01,630,900,PACK
Acethin,,Tablet,5,PACKS,2027-06-01,630,900,PACK
Pregabalin,75mg,Tablet,3,PACKS,2027-09-01,1750,2500,PACK
Pregabalin,150mg,Tablet,1,PACKS,2026-11-01,1960,2800,PACK
Tramadol HCl,50mg,Capsule,3,PACKS,2026-08-01,630,900,,
Tizanidine,2mg,Tablet,2,PACKS,2027-06-01,770,1100,PACK
Norflex,100mg,Tablet,8,PACKS,2028-01-01,630,900,CARD
Diclofenac,100mg,Tablet,20,PACKS,2028-08-01,280,400,PACK
Co-codamol,,Tablet,1,PACKS,2027-05-01,420,600,CARD
Diclofenac,50mg,Tablet,3,PACKS,2026-06-01,175,250,CARD
MMT Antacid,,Tablet,12,PACKS,2029-08-01,70,100,CARD
Omeprazole,20mg,Tablet,12,PACKS,2028-05-01,700,1000,PACK
Antacid (Gelacid),,Suspension,5,BOTTLES,2028-06-01,280,400,BOTTLE
Omeprazole,20mg,Tablet,27,PACKS,2028-03-01,630,900,PACK
Liquid Paraffin,,Liquid,4,BOTTLES,2028-01-01,910,1300,BOTTLE
Sterilized Water,,Solution,30,PCS,2028-01-01,70,100,,
Insulin Syringe,,Consumable,1,PACKS,2027-09-01,210,300,,
Mannitol,,Injection,8,BOTTLES,2026-12-01,700,1000,,
5% Dextrose/Water,,Injection,5,BOTTLES,2027-04-01,560,800,,
Normal Saline 1L,,Injection,2,BOTTLES,2027-09-01,560,800,,
10ml Syringe/Needle,,Consumable,1,PCS,2027-03-01,105,150,,
Paracetamol,500mg,Tablet,1000,TABS,2028-04-01,11,15,TAB
Pentazocine,30mg,Injection,10,AMPOULES,2027-10-01,700,1000,AMPOULE
